,word,definition,frequency
572,προσερέω,"
		speak to, address, accost
    	",4
573,προτέρω,"
		further, forwards
    	",4
574,προτερέω,"
		to be before, be in advance
    	",4
575,πλέω,"
		sail, go by sea,
    	",1
576,ἀχεύω,"
		grieving, mourning,
    	",3
577,ἦτορ,"
		heart.
    	",4
578,ἄσμενος,"
		well-pleased, glad,
    	",2
579,ἀσμενέω,"
		wish for
    	",2
580,θανατάω,"
		desire to die
    	",1
581,θανατόω,"
		put to death
    	",1
582,φίλος,"
		beloved, dear,
    	",1
583,φῖλος,"
[definition unavailable]
",1
584,φιλέω,"
		love, regard with affection,
    	",1
585,φιλόω,"
[definition unavailable]
",1
586,ὕδης,"
		vádati
    	",9
587,ἄρος,"
		use, profit, help,
    	",3
588,ἔρα,"
		earth,
    	",3
589,ἔραμαι,"
		love,
    	",3
590,κίων,"
		pillar
    	",1
591,κιονίς,"
		uvula
    	",1
592,ἀμφιέλισσα,"
		rowed on both sides
    	",1
593,πρίν,"
		before, until.
    	",1
594,δείλη,"
		afternoon
    	",1
595,δειλός,"
		cowardly,
    	",1
596,ἑταίρα,"
		a companion
    	",3
597,τρίς,"
		thrice, three times,
    	",3
598,αὔω2,"
		cry out, shout, call aloud,
    	",1
599,θνήσκω,"
		to die, be dying
    	",1
600,μέτειμι,"
		sum), to be among
    	",1
601,μέτειμι2,"
		ibo
    	",1
602,πέδιον,"
[definition unavailable]
",1
603,πεδάω,"
		bind with fetters
    	",1
604,πεδίον,"
		a plain
    	",1
605,πεδίον2,"
		plain
    	",1
606,πεδίζω,"
		fetter,
    	",1
607,δηιόω,"
		to cut down, slay
    	",1
608,ἐπόρνυμι,"
		stir up, arouse, excite,
    	",1
609,Βορέας,"
		north wind
    	",1
610,νεφεληγερέτα,"
		cloud-gatherer,
    	",1
611,λαῖλαψ,"
		furious storm, hurricane
    	",1
612,θεσπέσιος,"
		divinely sounding, divinely sweet
    	",1
